DEB [20230122-23:10:04.103] thr=1   paramiko.transport: starting thread (client mode): 0xbfe04460
DEB [20230123-10:48:05.963] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:48:05.963] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:48:05.963] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:48:05.964] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:48:05.964] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:48:05.970] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:48:05.971] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:48:12.216] thr=1   paramiko.transport: userauth is OK
DEB [20230123-10:48:12.248] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:52:56.701] thr=1   paramiko.transport: starting thread (client mode): 0x9f8e6d00
DEB [20230123-10:52:56.702] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:52:56.743] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:52:56.743] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:52:56.748] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:52:56.748] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:52:56.748] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:52:56.749] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:52:56.749] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:52:56.749] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:52:56.763] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:52:56.763] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:53:03.603] thr=1   paramiko.transport: userauth is OK
DEB [20230123-10:53:13.031] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:11:27.022] thr=1   paramiko.transport: starting thread (client mode): 0xafe96d00
DEB [20230123-13:11:27.023] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:11:27.047] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:11:27.047] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:11:27.049] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:11:27.049] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:11:27.049] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:11:27.049] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:11:27.050] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:11:27.050] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:11:27.055] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:11:27.056] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:11:31.502] thr=1   paramiko.transport: userauth is OK
DEB [20230123-13:11:31.528] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:12:07.650] thr=1   paramiko.transport: starting thread (client mode): 0x98ef6d00
DEB [20230123-13:12:07.651] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:12:07.686] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:12:07.686] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:12:07.690] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:12:07.690] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:12:07.690] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:12:07.691] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:12:07.691] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:12:07.691] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:12:07.700] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:12:07.701] thr=1   paramiko.transport: Switch to new keys ...
ERR [20230123-13:12:20.050] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
DEB [20230123-13:13:01.222] thr=1   paramiko.transport: starting thread (client mode): 0x6b526d00
DEB [20230123-13:13:01.223] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:13:01.258] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:13:01.259] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:13:01.263] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:13:01.263] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:13:01.263] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:13:01.264] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:13:01.264] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:13:01.264] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:13:01.274] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:13:01.275] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:13:07.100] thr=1   paramiko.transport: userauth is OK
DEB [20230123-13:13:11.413] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:14:28.496] thr=1   paramiko.transport: starting thread (client mode): 0x3cd86d00
DEB [20230123-13:14:28.497] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:14:28.531] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:14:28.531] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:14:28.535] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:14:28.536] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:14:28.536] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:14:28.536] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:14:28.536] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:14:28.537] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:14:28.548] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:14:28.549] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:14:32.599] thr=1   paramiko.transport: userauth is OK
DEB [20230123-13:14:48.554] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:17:55.938] thr=1   paramiko.transport: starting thread (client mode): 0xbfc6d00
DEB [20230123-13:17:55.939] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:17:55.975] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:17:55.975] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:17:55.980] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:17:55.980] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:17:55.980] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:17:55.981] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:17:55.981] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:17:55.981] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:17:55.990] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:17:55.990] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:17:58.892] thr=1   paramiko.transport: userauth is OK
DEB [20230123-13:17:58.963] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:18:23.771] thr=1   paramiko.transport: starting thread (client mode): 0x5aa66d00
DEB [20230123-13:18:23.772] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:18:23.805] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:18:23.805] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:18:23.809] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:18:23.809] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:18:23.809] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:18:23.810] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:18:23.810] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:18:23.810] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:18:23.820] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:18:23.820] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:18:26.468] thr=1   paramiko.transport: userauth is OK
DEB [20230123-13:18:26.523] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:51:48.840] thr=1   paramiko.transport: starting thread (client mode): 0x320e6d00
DEB [20230123-13:51:48.841] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:51:48.865] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:51:48.865] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:51:48.867] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:51:48.867] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:51:48.867] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:51:48.867] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:51:48.868] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:51:48.868] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:51:48.872] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:51:48.873] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:51:52.931] thr=1   paramiko.transport: userauth is OK
INF [20230123-13:51:52.944] thr=1   paramiko.transport: Authentication (password) failed.
DEB [20230123-13:51:52.950] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:53:07.950] thr=1   paramiko.transport: starting thread (client mode): 0x288c6d00
DEB [20230123-13:53:07.951] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:53:07.975] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:53:07.975] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:53:07.977] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:53:07.978] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:53:07.978] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:53:07.978] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:53:07.978] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:53:07.978] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:53:07.983] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:53:07.983] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-13:53:07.991] thr=1   paramiko.transport: userauth is OK
INF [20230123-13:53:08.007] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-13:53:08.007] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-13:53:08.009] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-13:53:08.009] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-13:53:08.010] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-13:53:08.011] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-13:53:08.011] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-13:53:08.012] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-13:54:25.116] thr=1   paramiko.transport: starting thread (client mode): 0xdd1f6d00
DEB [20230123-13:54:25.117] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-13:54:25.141] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-13:54:25.141] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-13:54:25.146] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-13:54:25.146] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-13:54:25.146] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-13:54:25.147] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-13:54:25.147] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-13:54:25.147] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-13:54:25.153] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-13:54:25.218] thr=1   paramiko.transport: Switch to new keys ...
